floor,total floor,years of house,Square footage,building present situation pattern - hall,Transfer building present situation pattern - compartmented,Transfer Management organization,School,0.257-11,Distance To Bay,parking space,logY
1,5,32,30.492,2,1,0,0.917816729,5,0.128913283,0,3.979172735
1,5,32,30.492,2,1,0,0.917816729,5,0.128913283,0,3.979172735
5,5,28,27.875375,2,1,0,0.313534928,3,1.465894966,0,3.391118947
8,15,6,32.54295,2,1,1,0.546246659,2,0.978960677,1,3.495226941
24,41,16,13.403775,1,1,1,0.928673668,6,0.108835403,0,3.85557171
12,15,4,33.64405,2,1,1,0.546246659,2,0.978960677,1,3.752138548
19,21,0,49.268175,2,1,1,0.546246659,2,0.978960677,1,3.816626049
2,14,6,27.288525,2,1,1,0.928673668,6,0.108835403,0,3.721104209
7,13,14,10.14585,1,1,1,0.676633362,7,1.252851982,0,3.699448073
7,14,6,33.51095,2,1,1,0.928673668,6,0.108835403,0,3.727709454
9,25,2,57.3661,2,1,1,0.928673668,6,0.108835403,1,3.791396925
5,12,24,27.29155,2,1,1,0.928673668,6,0.108835403,0,3.703095137
19,21,15,11.383075,0,1,1,0.546246659,2,0.978960677,0,3.498479838
8,25,11,31.76855,2,1,1,0.928673668,6,0.108835403,0,4.038047183
21,41,16,13.403775,1,1,1,0.928673668,6,0.108835403,0,3.823487022
5,5,30,30.81265,2,1,0,0.676633362,7,1.252851982,0,3.352919627
4,5,29,33.7469,2,1,0,0.434459386,3,1.985811351,0,3.341509771
8,22,18,23.386275,2,1,1,0.91597149,5,0.033539262,0,3.675898335
19,23,1,91.6212,2,1,1,0.922336092,4,1.446636591,1,3.851406575
12,26,19,24.41175,2,1,1,0.546246659,2,0.978960677,0,3.86919155
4,14,5,25.606625,1,1,1,0.546246659,2,0.978960677,0,3.714271907
3,5,34,25.261775,0,1,0,0.436571707,4,1.2195526,0,3.703410866
16,22,14,26.45665,2,1,1,0.546246659,2,0.978960677,0,3.733410437
10,13,7,33.386925,1,1,1,0.928673668,6,0.108835403,0,3.751224025
10,13,7,54.132375,2,1,1,0.928673668,6,0.108835403,1,3.61253152
5,5,16,65.355125,2,1,0,0.922336092,4,1.446636591,0,3.237957807
4,14,12,24.4541,2,1,1,0.928673668,6,0.108835403,0,3.73998605
6,14,8,33.24475,2,1,1,0.546246659,2,0.978960677,1,3.54643791
25,41,16,14.48975,1,1,1,0.928673668,6,0.108835403,0,3.77937963
5,25,11,14.9919,2,1,1,0.928673668,6,0.108835403,0,4.094875708
18,22,18,40.846575,2,1,1,0.91597149,5,0.033539262,1,3.693144617
15,41,16,12.1847,1,1,1,0.928673668,6,0.108835403,0,3.494240853
10,22,18,24.13345,1,1,1,0.91597149,5,0.033539262,0,3.718272608
7,14,8,27.409525,2,1,1,0.546246659,2,0.978960677,1,3.69436296
7,14,12,35.135375,1,1,1,0.928673668,6,0.108835403,1,3.637579512
7,11,14,36.309075,2,1,1,0.551919167,6,1.348752678,1,3.515610865
4,22,14,14.16305,0,1,1,0.546246659,2,0.978960677,0,3.582131839
9,22,17,10.203325,1,1,1,0.928673668,6,0.108835403,0,3.718025054
1,4,38,22.5423,1,1,0,0.409397976,5,1.315061071,0,3.380690861
6,7,32,32.424975,2,1,1,0.676633362,7,1.252851982,0,3.2808192
10,25,11,14.9919,1,1,1,0.928673668,6,0.108835403,0,4.042971573
9,12,5,23.6313,1,1,1,0.676633362,7,1.252851982,1,3.788847175
9,14,5,33.725725,2,1,1,0.546246659,2,0.978960677,1,3.599533016
1,5,42,24.95625,2,1,0,0.67632531,1,1.112770892,0,3.10176499
6,14,8,39.08905,2,1,1,0.426398957,7,1.213320507,0,3.70507383
10,14,6,17.78095,1,1,1,0.833684897,1,0.724957857,0,3.77831727
3,4,38,22.593725,1,1,0,0.928673668,6,0.108835403,0,3.485720952
19,26,19,39.086025,2,1,1,0.546246659,2,0.978960677,1,3.456364324
4,14,6,19.70485,1,1,1,0.833684897,1,0.724957857,0,3.638814797
9,11,2,46.86935,2,1,1,0.546246659,2,0.978960677,1,3.595052238
14,14,18,11.038225,1,1,1,0.676633362,7,1.252851982,0,3.774582488
10,13,18,16.404575,1,1,0,0.676633362,7,1.252851982,0,3.399707511
9,12,6,14.40505,1,1,1,0.676633362,7,1.252851982,0,3.931481876
8,14,8,30.80055,2,1,1,0.546246659,2,0.978960677,0,3.797075582
4,6,28,24.021525,2,1,0,0.546246659,2,0.978960677,0,3.244331603
5,14,13,38.099875,2,1,1,0.928673668,6,0.108835403,1,3.843089586
5,14,8,27.639425,2,1,1,0.546246659,2,0.978960677,1,3.615776435
